date,GoPro
2020-01-01,96
2020-02-01,88
2020-03-01,69
2020-04-01,71
2020-05-01,84
2020-06-01,88
2020-07-01,100
2020-08-01,99
2020-09-01,98
2020-10-01,78
2020-11-01,87
2020-12-01,87
2021-01-01,76
2021-02-01,74
2021-03-01,70
2021-04-01,69
2021-05-01,72
2021-06-01,71
2021-07-01,78
2021-08-01,72
2021-09-01,72
2021-10-01,60
2021-11-01,64
2021-12-01,66
2022-01-01,75
2022-02-01,72
2022-03-01,67
2022-04-01,73
2022-05-01,68
2022-06-01,72
2022-07-01,79
2022-08-01,71
2022-09-01,75
2022-10-01,60
2022-11-01,61
2022-12-01,65
2023-01-01,65
2023-02-01,62
2023-03-01,56
2023-04-01,58
2023-05-01,57
2023-06-01,63
2023-07-01,72
2023-08-01,66
2023-09-01,68
2023-10-01,53
2023-11-01,61
2023-12-01,63
2024-01-01,60
2024-02-01,60
2024-03-01,58
2024-04-01,56
2024-05-01,55
2024-06-01,57
2024-07-01,62
2024-08-01,60
2024-09-01,64
2024-10-01,51
2024-11-01,55
2024-12-01,60
2025-01-01,56
2025-02-01,55
2025-03-01,53
2025-04-01,49
2025-05-01,52
2025-06-01,55
2025-07-01,60
2025-08-01,71
