date,Intel stock price
2020-08-02,35
2020-08-09,28
2020-08-16,28
2020-08-23,24
2020-08-30,33
2020-09-06,21
2020-09-13,19
2020-09-20,17
2020-09-27,18
2020-10-04,18
2020-10-11,17
2020-10-18,25
2020-10-25,21
2020-11-01,20
2020-11-08,23
2020-11-15,19
2020-11-22,19
2020-11-29,20
2020-12-06,20
2020-12-13,18
2020-12-20,18
2020-12-27,17
2021-01-03,21
2021-01-10,31
2021-01-17,30
2021-01-24,29
2021-01-31,23
2021-02-07,22
2021-02-14,19
2021-02-21,21
2021-02-28,20
2021-03-07,19
2021-03-14,18
2021-03-21,25
2021-03-28,19
2021-04-04,20
2021-04-11,20
2021-04-18,22
2021-04-25,21
2021-05-02,21
2021-05-09,19
2021-05-16,18
2021-05-23,16
2021-05-30,15
2021-06-06,15
2021-06-13,16
2021-06-20,15
2021-06-27,16
2021-07-04,13
2021-07-11,14
2021-07-18,21
2021-07-25,19
2021-08-01,18
2021-08-08,17
2021-08-15,16
2021-08-22,19
2021-08-29,18
2021-09-05,13
2021-09-12,15
2021-09-19,14
2021-09-26,16
2021-10-03,15
2021-10-10,14
2021-10-17,25
2021-10-24,26
2021-10-31,24
2021-11-07,24
2021-11-14,19
2021-11-21,17
2021-11-28,19
2021-12-05,23
2021-12-12,19
2021-12-19,18
2021-12-26,16
2022-01-02,24
2022-01-09,22
2022-01-16,21
2022-01-23,33
2022-01-30,25
2022-02-06,23
2022-02-13,28
2022-02-20,25
2022-02-27,28
2022-03-06,25
2022-03-13,24
2022-03-20,24
2022-03-27,23
2022-04-03,21
2022-04-10,18
2022-04-17,21
2022-04-24,24
2022-05-01,23
2022-05-08,24
2022-05-15,20
2022-05-22,19
2022-05-29,19
2022-06-05,21
2022-06-12,27
2022-06-19,21
2022-06-26,20
2022-07-03,20
2022-07-10,20
2022-07-17,26
2022-07-24,35
2022-07-31,30
2022-08-07,27
2022-08-14,21
2022-08-21,25
2022-08-28,21
2022-09-04,17
2022-09-11,19
2022-09-18,20
2022-09-25,19
2022-10-02,21
2022-10-09,25
2022-10-16,19
2022-10-23,27
2022-10-30,21
2022-11-06,20
2022-11-13,20
2022-11-20,14
2022-11-27,15
2022-12-04,14
2022-12-11,15
2022-12-18,15
2022-12-25,13
2023-01-01,16
2023-01-08,18
2023-01-15,14
2023-01-22,29
2023-01-29,27
2023-02-05,19
2023-02-12,16
2023-02-19,17
2023-02-26,15
2023-03-05,16
2023-03-12,17
2023-03-19,16
2023-03-26,17
2023-04-02,18
2023-04-09,17
2023-04-16,16
2023-04-23,18
2023-04-30,17
2023-05-07,15
2023-05-14,16
2023-05-21,19
2023-05-28,22
2023-06-04,20
2023-06-11,28
2023-06-18,24
2023-06-25,24
2023-07-02,17
2023-07-09,22
2023-07-16,20
2023-07-23,28
2023-07-30,25
2023-08-06,20
2023-08-13,20
2023-08-20,19
2023-08-27,19
2023-09-03,19
2023-09-10,23
2023-09-17,19
2023-09-24,17
2023-10-01,19
2023-10-08,18
2023-10-15,16
2023-10-22,21
2023-10-29,20
2023-11-05,20
2023-11-12,25
2023-11-19,22
2023-11-26,23
2023-12-03,22
2023-12-10,26
2023-12-17,28
2023-12-24,30
2023-12-31,23
2024-01-07,26
2024-01-14,23
2024-01-21,37
2024-01-28,29
2024-02-04,25
2024-02-11,26
2024-02-18,30
2024-02-25,30
2024-03-03,35
2024-03-10,29
2024-03-17,36
2024-03-24,26
2024-03-31,32
2024-04-07,32
2024-04-14,29
2024-04-21,29
2024-04-28,30
2024-05-05,26
2024-05-12,28
2024-05-19,29
2024-05-26,24
2024-06-02,31
2024-06-09,30
2024-06-16,27
2024-06-23,27
2024-06-30,23
2024-07-07,38
2024-07-14,36
2024-07-21,31
2024-07-28,85
2024-08-04,100
2024-08-11,59
2024-08-18,49
2024-08-25,46
2024-09-01,49
2024-09-08,41
2024-09-15,62
2024-09-22,62
2024-09-29,42
2024-10-06,39
2024-10-13,39
2024-10-20,35
2024-10-27,48
2024-11-03,56
2024-11-10,45
2024-11-17,38
2024-11-24,34
2024-12-01,59
2024-12-08,49
2024-12-15,47
2024-12-22,36
2024-12-29,35
2025-01-05,38
2025-01-12,40
2025-01-19,52
2025-01-26,64
2025-02-02,45
2025-02-09,59
2025-02-16,69
2025-02-23,53
2025-03-02,53
2025-03-09,60
2025-03-16,58
2025-03-23,39
2025-03-30,53
2025-04-06,62
2025-04-13,38
2025-04-20,48
2025-04-27,37
2025-05-04,32
2025-05-11,38
2025-05-18,32
2025-05-25,26
2025-06-01,28
2025-06-08,34
2025-06-15,30
2025-06-22,35
2025-06-29,30
2025-07-06,37
2025-07-13,39
2025-07-20,54
2025-07-27,65
