date,Sudan
2020-08-02,10
2020-08-09,9
2020-08-16,9
2020-08-23,9
2020-08-30,9
2020-09-06,13
2020-09-13,9
2020-09-20,9
2020-09-27,9
2020-10-04,9
2020-10-11,10
2020-10-18,15
2020-10-25,10
2020-11-01,9
2020-11-08,12
2020-11-15,12
2020-11-22,9
2020-11-29,10
2020-12-06,9
2020-12-13,10
2020-12-20,25
2020-12-27,10
2021-01-03,9
2021-01-10,10
2021-01-17,10
2021-01-24,10
2021-01-31,9
2021-02-07,10
2021-02-14,10
2021-02-21,10
2021-02-28,11
2021-03-07,10
2021-03-14,9
2021-03-21,10
2021-03-28,16
2021-04-04,10
2021-04-11,9
2021-04-18,9
2021-04-25,9
2021-05-02,9
2021-05-09,9
2021-05-16,11
2021-05-23,10
2021-05-30,10
2021-06-06,10
2021-06-13,9
2021-06-20,9
2021-06-27,9
2021-07-04,10
2021-07-11,9
2021-07-18,8
2021-07-25,9
2021-08-01,9
2021-08-08,9
2021-08-15,9
2021-08-22,9
2021-08-29,10
2021-09-05,10
2021-09-12,9
2021-09-19,10
2021-09-26,9
2021-10-03,11
2021-10-10,10
2021-10-17,10
2021-10-24,22
2021-10-31,11
2021-11-07,11
2021-11-14,12
2021-11-21,10
2021-11-28,11
2021-12-05,11
2021-12-12,10
2021-12-19,12
2021-12-26,10
2022-01-02,11
2022-01-09,20
2022-01-16,15
2022-01-23,10
2022-01-30,10
2022-02-06,10
2022-02-13,10
2022-02-20,11
2022-02-27,11
2022-03-06,10
2022-03-13,10
2022-03-20,11
2022-03-27,11
2022-04-03,10
2022-04-10,10
2022-04-17,11
2022-04-24,10
2022-05-01,9
2022-05-08,10
2022-05-15,10
2022-05-22,10
2022-05-29,10
2022-06-05,11
2022-06-12,9
2022-06-19,9
2022-06-26,9
2022-07-03,9
2022-07-10,9
2022-07-17,10
2022-07-24,9
2022-07-31,9
2022-08-07,10
2022-08-14,9
2022-08-21,10
2022-08-28,9
2022-09-04,9
2022-09-11,10
2022-09-18,10
2022-09-25,10
2022-10-02,10
2022-10-09,11
2022-10-16,12
2022-10-23,11
2022-10-30,11
2022-11-06,10
2022-11-13,11
2022-11-20,9
2022-11-27,10
2022-12-04,10
2022-12-11,11
2022-12-18,10
2022-12-25,10
2023-01-01,11
2023-01-08,12
2023-01-15,17
2023-01-22,12
2023-01-29,11
2023-02-05,11
2023-02-12,11
2023-02-19,12
2023-02-26,12
2023-03-05,11
2023-03-12,10
2023-03-19,12
2023-03-26,13
2023-04-02,10
2023-04-09,18
2023-04-16,64
2023-04-23,100
2023-04-30,35
2023-05-07,17
2023-05-14,13
2023-05-21,12
2023-05-28,12
2023-06-04,12
2023-06-11,12
2023-06-18,14
2023-06-25,9
2023-07-02,10
2023-07-09,11
2023-07-16,9
2023-07-23,10
2023-07-30,9
2023-08-06,10
2023-08-13,11
2023-08-20,11
2023-08-27,15
2023-09-03,12
2023-09-10,12
2023-09-17,10
2023-09-24,10
2023-10-01,10
2023-10-08,10
2023-10-15,11
2023-10-22,11
2023-10-29,11
2023-11-05,12
2023-11-12,13
2023-11-19,12
2023-11-26,11
2023-12-03,11
2023-12-10,10
2023-12-17,12
2023-12-24,10
2023-12-31,10
2024-01-07,10
2024-01-14,10
2024-01-21,11
2024-01-28,11
2024-02-04,11
2024-02-11,11
2024-02-18,11
2024-02-25,11
2024-03-03,12
2024-03-10,11
2024-03-17,13
2024-03-24,11
2024-03-31,12
2024-04-07,11
2024-04-14,12
2024-04-21,11
2024-04-28,12
2024-05-05,11
2024-05-12,11
2024-05-19,11
2024-05-26,13
2024-06-02,12
2024-06-09,13
2024-06-16,11
2024-06-23,11
2024-06-30,9
2024-07-07,10
2024-07-14,29
2024-07-21,30
2024-07-28,59
2024-08-04,13
2024-08-11,11
2024-08-18,11
2024-08-25,12
2024-09-01,13
2024-09-08,19
2024-09-15,12
2024-09-22,12
2024-09-29,12
2024-10-06,19
2024-10-13,18
2024-10-20,12
2024-10-27,13
2024-11-03,11
2024-11-10,14
2024-11-17,18
2024-11-24,11
2024-12-01,11
2024-12-08,11
2024-12-15,11
2024-12-22,10
2024-12-29,10
2025-01-05,11
2025-01-12,12
2025-01-19,11
2025-01-26,12
2025-02-02,12
2025-02-09,14
2025-02-16,12
2025-02-23,12
2025-03-02,12
2025-03-09,12
2025-03-16,16
2025-03-23,18
2025-03-30,12
2025-04-06,14
2025-04-13,13
2025-04-20,12
2025-04-27,11
2025-05-04,12
2025-05-11,12
2025-05-18,13
2025-05-25,11
2025-06-01,11
2025-06-08,10
2025-06-15,10
2025-06-22,12
2025-06-29,11
2025-07-06,11
2025-07-13,10
2025-07-20,11
2025-07-27,13
