date,buy Target shares
2020-08-02,22
2020-08-09,45
2020-08-16,52
2020-08-23,34
2020-08-30,26
2020-09-06,31
2020-09-13,35
2020-09-20,34
2020-09-27,19
2020-10-04,22
2020-10-11,29
2020-10-18,27
2020-10-25,26
2020-11-01,20
2020-11-08,28
2020-11-15,34
2020-11-22,47
2020-11-29,47
2020-12-06,58
2020-12-13,73
2020-12-20,30
2020-12-27,46
2021-01-03,58
2021-01-10,64
2021-01-17,46
2021-01-24,46
2021-01-31,80
2021-02-07,78
2021-02-14,68
2021-02-21,47
2021-02-28,56
2021-03-07,45
2021-03-14,44
2021-03-21,31
2021-03-28,33
2021-04-04,45
2021-04-11,39
2021-04-18,42
2021-04-25,55
2021-05-02,49
2021-05-09,66
2021-05-16,61
2021-05-23,72
2021-05-30,81
2021-06-06,93
2021-06-13,72
2021-06-20,56
2021-06-27,59
2021-07-04,63
2021-07-11,50
2021-07-18,49
2021-07-25,67
2021-08-01,55
2021-08-08,47
2021-08-15,49
2021-08-22,35
2021-08-29,52
2021-09-05,42
2021-09-12,65
2021-09-19,49
2021-09-26,37
2021-10-03,70
2021-10-10,75
2021-10-17,58
2021-10-24,46
2021-10-31,46
2021-11-07,57
2021-11-14,46
2021-11-21,51
2021-11-28,35
2021-12-05,30
2021-12-12,39
2021-12-19,28
2021-12-26,34
2022-01-02,58
2022-01-09,73
2022-01-16,53
2022-01-23,55
2022-01-30,66
2022-02-06,53
2022-02-13,49
2022-02-20,38
2022-02-27,45
2022-03-06,37
2022-03-13,31
2022-03-20,37
2022-03-27,38
2022-04-03,58
2022-04-10,38
2022-04-17,44
2022-04-24,39
2022-05-01,33
2022-05-08,35
2022-05-15,34
2022-05-22,32
2022-05-29,29
2022-06-05,23
2022-06-12,21
2022-06-19,18
2022-06-26,15
2022-07-03,24
2022-07-10,15
2022-07-17,30
2022-07-24,0
2022-07-31,42
2022-08-07,37
2022-08-14,39
2022-08-21,33
2022-08-28,24
2022-09-04,48
2022-09-11,50
2022-09-18,36
2022-09-25,21
2022-10-02,16
2022-10-09,30
2022-10-16,26
2022-10-23,26
2022-10-30,27
2022-11-06,32
2022-11-13,50
2022-11-20,33
2022-11-27,27
2022-12-04,45
2022-12-11,44
2022-12-18,27
2022-12-25,0
2023-01-01,24
2023-01-08,29
2023-01-15,22
2023-01-22,31
2023-01-29,25
2023-02-05,18
2023-02-12,26
2023-02-19,31
2023-02-26,30
2023-03-05,26
2023-03-12,16
2023-03-19,26
2023-03-26,16
2023-04-02,16
2023-04-09,28
2023-04-16,24
2023-04-23,30
2023-04-30,43
2023-05-07,30
2023-05-14,34
2023-05-21,33
2023-05-28,33
2023-06-04,41
2023-06-11,41
2023-06-18,30
2023-06-25,34
2023-07-02,51
2023-07-09,44
2023-07-16,51
2023-07-23,39
2023-07-30,46
2023-08-06,40
2023-08-13,47
2023-08-20,42
2023-08-27,55
2023-09-03,66
2023-09-10,73
2023-09-17,40
2023-09-24,65
2023-10-01,41
2023-10-08,40
2023-10-15,51
2023-10-22,29
2023-10-29,31
2023-11-05,40
2023-11-12,39
2023-11-19,33
2023-11-26,72
2023-12-03,97
2023-12-10,74
2023-12-17,71
2023-12-24,51
2023-12-31,74
2024-01-07,85
2024-01-14,99
2024-01-21,82
2024-01-28,100
2024-02-04,92
2024-02-11,33
2024-02-18,73
2024-02-25,52
2024-03-03,52
2024-03-10,34
2024-03-17,39
2024-03-24,38
2024-03-31,47
2024-04-07,50
2024-04-14,46
2024-04-21,42
2024-04-28,60
2024-05-05,41
2024-05-12,35
2024-05-19,49
2024-05-26,45
2024-06-02,84
2024-06-09,51
2024-06-16,58
2024-06-23,43
2024-06-30,54
2024-07-07,70
2024-07-14,57
2024-07-21,46
2024-07-28,65
2024-08-04,47
2024-08-11,57
2024-08-18,65
2024-08-25,61
2024-09-01,50
2024-09-08,42
2024-09-15,49
2024-09-22,47
2024-09-29,32
2024-10-06,30
2024-10-13,20
2024-10-20,42
2024-10-27,32
2024-11-03,51
2024-11-10,43
2024-11-17,30
2024-11-24,41
2024-12-01,45
2024-12-08,61
2024-12-15,32
2024-12-22,28
2024-12-29,36
2025-01-05,36
2025-01-12,37
2025-01-19,33
2025-01-26,33
2025-02-02,17
2025-02-09,29
2025-02-16,23
2025-02-23,31
2025-03-02,19
2025-03-09,22
2025-03-16,27
2025-03-23,26
2025-03-30,21
2025-04-06,26
2025-04-13,0
2025-04-20,24
2025-04-27,14
2025-05-04,26
2025-05-11,22
2025-05-18,24
2025-05-25,28
2025-06-01,32
2025-06-08,34
2025-06-15,30
2025-06-22,32
2025-06-29,34
2025-07-06,22
2025-07-13,44
2025-07-20,30
2025-07-27,22
