date,gender equality
2020-08-02,18
2020-08-09,20
2020-08-16,21
2020-08-23,22
2020-08-30,23
2020-09-06,29
2020-09-13,30
2020-09-20,36
2020-09-27,33
2020-10-04,41
2020-10-11,38
2020-10-18,35
2020-10-25,32
2020-11-01,30
2020-11-08,28
2020-11-15,31
2020-11-22,29
2020-11-29,30
2020-12-06,30
2020-12-13,25
2020-12-20,18
2020-12-27,14
2021-01-03,23
2021-01-10,28
2021-01-17,33
2021-01-24,32
2021-01-31,31
2021-02-07,32
2021-02-14,32
2021-02-21,38
2021-02-28,42
2021-03-07,46
2021-03-14,46
2021-03-21,38
2021-03-28,34
2021-04-04,35
2021-04-11,35
2021-04-18,36
2021-04-25,41
2021-05-02,37
2021-05-09,39
2021-05-16,36
2021-05-23,34
2021-05-30,31
2021-06-06,30
2021-06-13,30
2021-06-20,28
2021-06-27,23
2021-07-04,21
2021-07-11,22
2021-07-18,20
2021-07-25,21
2021-08-01,21
2021-08-08,20
2021-08-15,21
2021-08-22,25
2021-08-29,23
2021-09-05,24
2021-09-12,32
2021-09-19,35
2021-09-26,35
2021-10-03,33
2021-10-10,33
2021-10-17,35
2021-10-24,37
2021-10-31,31
2021-11-07,36
2021-11-14,35
2021-11-21,33
2021-11-28,35
2021-12-05,36
2021-12-12,33
2021-12-19,19
2021-12-26,17
2022-01-02,34
2022-01-09,37
2022-01-16,37
2022-01-23,43
2022-01-30,37
2022-02-06,47
2022-02-13,63
2022-02-20,58
2022-02-27,76
2022-03-06,100
2022-03-13,64
2022-03-20,59
2022-03-27,63
2022-04-03,61
2022-04-10,41
2022-04-17,51
2022-04-24,52
2022-05-01,42
2022-05-08,48
2022-05-15,46
2022-05-22,45
2022-05-29,38
2022-06-05,43
2022-06-12,40
2022-06-19,33
2022-06-26,30
2022-07-03,28
2022-07-10,28
2022-07-17,28
2022-07-24,26
2022-07-31,26
2022-08-07,25
2022-08-14,30
2022-08-21,37
2022-08-28,36
2022-09-04,38
2022-09-11,44
2022-09-18,40
2022-09-25,38
2022-10-02,39
2022-10-09,47
2022-10-16,47
2022-10-23,41
2022-10-30,40
2022-11-06,47
2022-11-13,50
2022-11-20,47
2022-11-27,50
2022-12-04,47
2022-12-11,44
2022-12-18,30
2022-12-25,23
2023-01-01,32
2023-01-08,43
2023-01-15,45
2023-01-22,39
2023-01-29,46
2023-02-05,47
2023-02-12,47
2023-02-19,50
2023-02-26,70
2023-03-05,98
2023-03-12,77
2023-03-19,74
2023-03-26,74
2023-04-02,43
2023-04-09,53
2023-04-16,48
2023-04-23,48
2023-04-30,44
2023-05-07,47
2023-05-14,45
2023-05-21,42
2023-05-28,36
2023-06-04,36
2023-06-11,34
2023-06-18,34
2023-06-25,31
2023-07-02,28
2023-07-09,28
2023-07-16,28
2023-07-23,26
2023-07-30,26
2023-08-06,26
2023-08-13,28
2023-08-20,36
2023-08-27,31
2023-09-03,33
2023-09-10,38
2023-09-17,38
2023-09-24,41
2023-10-01,37
2023-10-08,43
2023-10-15,43
2023-10-22,43
2023-10-29,35
2023-11-05,42
2023-11-12,39
2023-11-19,40
2023-11-26,40
2023-12-03,41
2023-12-10,39
2023-12-17,26
2023-12-24,17
2023-12-31,23
2024-01-07,36
2024-01-14,37
2024-01-21,36
2024-01-28,37
2024-02-04,41
2024-02-11,44
2024-02-18,44
2024-02-25,49
2024-03-03,58
2024-03-10,54
2024-03-17,47
2024-03-24,35
2024-03-31,36
2024-04-07,33
2024-04-14,40
2024-04-21,38
2024-04-28,38
2024-05-05,39
2024-05-12,36
2024-05-19,33
2024-05-26,29
2024-06-02,28
2024-06-09,27
2024-06-16,24
2024-06-23,24
2024-06-30,22
2024-07-07,22
2024-07-14,21
2024-07-21,21
2024-07-28,25
2024-08-04,25
2024-08-11,26
2024-08-18,27
2024-08-25,29
2024-09-01,30
2024-09-08,33
2024-09-15,34
2024-09-22,33
2024-09-29,32
2024-10-06,34
2024-10-13,37
2024-10-20,33
2024-10-27,31
2024-11-03,35
2024-11-10,35
2024-11-17,35
2024-11-24,32
2024-12-01,35
2024-12-08,36
2024-12-15,26
2024-12-22,13
2024-12-29,16
2025-01-05,30
2025-01-12,33
2025-01-19,35
2025-01-26,33
2025-02-02,36
2025-02-09,33
2025-02-16,35
2025-02-23,37
2025-03-02,45
2025-03-09,41
2025-03-16,38
2025-03-23,31
2025-03-30,28
2025-04-06,28
2025-04-13,25
2025-04-20,29
2025-04-27,28
2025-05-04,29
2025-05-11,29
2025-05-18,27
2025-05-25,23
2025-06-01,23
2025-06-08,24
2025-06-15,26
2025-06-22,26
2025-06-29,27
2025-07-06,26
2025-07-13,25
2025-07-20,26
2025-07-27,30
